#,Date,Status,Format,Topic,Image Files,Caption,First Comment,Post URL,Notes
1,2026-05-22,Live,Single image,"Employer/HR partner post — ""stop sifting 200 resumes""","⚠ partner-post (HR) image — source external/Canva; copy in launch/partner-posts.md; locate or recreate","Hiring managers — stop sifting through 200 resumes for one role.

Diamond & Jeweler delivers your top 3 candidates, AI-matched on:
✦ Skills + experience
✦ Culture fit + trajectory
✦ Compensation alignment

Not just keywords. Real signal.

🔒 Confidential & PDPA-compliant
⏱ Early access to passive talent before they hit the open market
💬 Chat-based AI scope definition — your hiring manager defines the role, we find the diamond

🎁 First 3 candidates — FREE. No cost. No commitment.

Sign up: diamondandjeweler.com
📩 diamondandjeweler@gmail.com

#HiringMY #TalentAcquisition #HRMalaysia #RecruitmentMY #AIHiring #DNJ #FutureOfHiring #SmartHiring #HiringMadeEasy #MalaysiaHR #DNJDiamonds","👉 What's the longest you've spent filling one role? Drop the number below 👇",https://www.instagram.com/p/DYmhfrME5_V/,"Employer-side partner post"
2,2026-05-22,Live,Single image,"University/Career-services partner post — ""Help Your Students""","⚠ partner-post (University) image — source external/Canva; copy in launch/partner-posts.md; locate or recreate","Universities, career services, and every fresh grad reading this 👋

Job hunting shouldn't be 100 resumes shouted into the void.

Diamond & Jeweler is built to find your best 3 matches — based on real fit, not keyword spam. AI-curated. Privacy-first. PDPA-compliant.

🎓 For students: discover the roles actually built for you
🤝 For career services + universities: partner with us to elevate your students' futures

Together, we shape brighter futures. 💎

🌐 diamondandjeweler.com
📩 diamondandjeweler@gmail.com

Tag a career services team or a fresh grad who needs to see this 👇

#DNJ #HiddenTalent #FreshGraduate #MalaysiaJobs #InternshipMalaysia #CareerServices #UniversityMY #AIHiring #JobSearchMY #CareerGrowth #MatchedByDNJ","🎁 Want us to present to your students? DM us — we'll set up a free campus session.",https://www.instagram.com/p/DYmhxjPE2gI/,"University/career-services partner post"
3,2026-05-22,Live,Carousel (5 slides),"Day 1 launch — ""Some people are not untalented""","launch/carousel-slide-1.png … carousel-slide-5.png (or launch/carousel-sq-1..5.png)","Some people are not untalented. They were just never discovered.

Too many fresh grads stay invisible. Too many companies miss their perfect hire.

At DNJ, we believe everyone is a diamond — you just need the right boss to sharpen you.

No 100 resumes. AI finds your best 3 matches. Curated. Precise.

💎 diamondandjeweler.com

#DNJ #HiddenTalent #MalaysiaJobs #FreshGraduate #CareerGrowth #AIHiring #JobSearchMY #InternshipMalaysia #HiringMY #MatchedByDNJ #DNJDiamonds","(none)",https://www.instagram.com/p/DYnmrxME7aO/,"Launch carousel"
4,2026-05-23,Live,Single image,"Brand story — ""No, we don't sell diamonds""","⚠ D&J brand-template image (gold-on-black) — locate in repo or re-render","No, we don't sell diamonds. 💎

Here's why we're called Diamond & Jeweler:

Every diamond starts as a rough stone. Unnoticed. Unpolished. Easy to walk past.

It only shines after it meets the jeweler — someone who sees its potential, cuts it, and places it in the right setting.

Talent works exactly the same way. You might feel overlooked right now. But you're not untalented — you just haven't met the right jeweler yet. The right leader. The right place where you finally shine.

Everyone is a diamond. You just need the right cut.

But a diamond never finds its jeweler by accident. That's where we come in.

Diamond & Jeweler is the place where hidden talents meet the leaders who bring out their shine. We don't sell diamonds — we make the meeting happen.

💎 diamondandjeweler.com

#DNJ #HiddenTalent #EveryoneIsADiamond #MalaysiaJobs #FreshGraduate #CareerGrowth #AIHiring #TalentDiscovery #JobSearchMY #Mentorship #MatchedByDNJ","Have you met your ""jeweler"" yet — a leader who saw what others missed? 👇",https://www.instagram.com/p/DYoGKjlkwXG/,"Brand 'why the name' post"
5,2026-05-23,Live,Carousel (5 slides),"Day 10 — ""3 Resume Mistakes Keeping You Invisible""","content/carousels/day10-resume-mistakes-1.png … day10-resume-mistakes-5.png","Your resume is just a rock. Your potential is the diamond.

But these 3 mistakes are hiding both:
❌ Listing duties instead of achievements
❌ One generic resume for every job
❌ Adjectives, no proof

Fix these, and let AI do the rest. 💎 Start at diamondandjeweler.com

📌 Save this before your next application.

#DNJ #HiddenTalent #ResumeTips #JobSearchMY #FreshGraduate #MalaysiaJobs #InternshipMY #CareerAdvice #kerjakosong #EveryoneIsADiamond #MatchedByDNJ","Which one are you guilty of — 1, 2, or 3? 👇 (be honest)",https://www.instagram.com/p/DYr6dxBE2gw/,""
6,2026-05-24,Live,Single image (quote),"Day 5 — ""Most interviews test confidence. Not capability.""","content/quotes/q-day5-confidence.png","The quietest candidate often becomes the strongest leader.

Confidence in interviews is a skill — capability is who you are. If interviews keep filtering you out, maybe the filter is broken. Not you. 💎

At DNJ, AI looks at your potential — not just your performance under pressure.

👉 diamondandjeweler.com

#DNJ #HiddenTalent #InterviewTips #JobSearchMY #FreshGraduate #MalaysiaJobs #CareerAdvice #kerjakosong #interviewmalaysia #EveryoneIsADiamond #MatchedByDNJ","Ever been the quiet one who got overlooked? 👇",https://www.instagram.com/p/DYsx29bE8ev/,""
7,2026-05-25,Live,Single image (quote),"Day 12 — ""Your background doesn't define your future""","content/quotes/q-day12-background.png","Where you started doesn't decide where you're going.

Your next opportunity does. 💎

Your background isn't a limit — it's the beginning of your story.

👉 diamondandjeweler.com

Tag someone who needs to hear this today. 👇

#DNJ #HiddenTalent #JobSearchMY #FreshGraduate #MalaysiaJobs #CareerGrowth #kerjakosong #EveryoneIsADiamond #MatchedByDNJ #motivation #careeradvice","Where did YOU start? 👇",https://www.instagram.com/p/DYtahzFk1D3/,""
8,2026-05-25,Live,Carousel (5 slides),"Day 16 — ""Hiring truths nobody admits""","content/carousels/day16-hiring-truths-1-1.png … day16-hiring-truths-1-5.png","Hiring truths nobody admits:

#1 Confidence > capability
#2 The best worker is often the quietest
#3 ""We'll let you know"" usually means no.

DNJ matches on fit, not volume. 💎

#DNJ #HiringTruths #recruitmentmy #hrmalaysia #talentacquisition #futureofwork #smarthiring #malaysiajobs #careergrowthmy #EveryoneIsADiamond #DNJDiamonds","Which one stings the most? 👇",https://www.instagram.com/p/DYv_6zqE1Qm/,""
9,2026-05-25,Live,Single image (quote),"Day 19 — ""Some bosses reject the talent they feel threatened by""","content/quotes/q-day19-threatened.png","Sometimes you're not rejected for lacking talent — you're rejected for having too much of it.

The right leader is secure enough to sharpen you, not bury you. 💎

#DNJ #HiddenTalent #kerjakosong #careermalaysia #jobseekers #interviewtips #freshgraduatemalaysia #malaysiajobs #careeradvice #EveryoneIsADiamond #MatchedByDNJ","Have you ever felt this? 👇",https://www.instagram.com/p/DYwFvbcExw2/,""
10,2026-05-25,Live,Carousel (6 slides),"Day 29 — ""5 interview answers that actually work""","content/carousels/day29-interview-answers-1.png; day29-interview-answers-2.png; day29-interview-answers-3.png; day29-interview-answers-4.png; day29-interview-answers-5.png; day29-interview-answers-6.png","5 interview answers that actually work — save this before your next one. 📌

From ""tell me about yourself"" to ""any questions?"" — exactly what to say.

#DNJ #HiddenTalent #MalaysiaJobs #FreshGraduate #CareerGrowth #AIHiring #JobSearchMY #InternshipMalaysia #HiringMY #MatchedByDNJ #DNJDiamonds","Which question scares you most? 👇",https://www.instagram.com/p/DYxKPm4E2Rm/,""
